date, pm25, pm10, no2
2023/4/1, 16, 8, 6
2023/4/2, 18, 7, 8
2023/4/3, 20, 11, 7
2023/4/4, 32, 9, 9
2023/4/5, 25, 10, 10
2023/4/6, 24, 9, 12
2023/4/7, 23, 8, 6
2023/4/8, 22, 11, 3
2023/4/9, 34, 12, 4
2023/4/10, 32, 10, 10
2023/4/11, 23, 7, 2
2023/4/12, 19, 8, 10
2023/4/13, 19, 13, 8
2023/4/14, 29, 11, 9
2023/4/15, 22, 8, 6
2023/4/16, 19, 9, 9
2023/4/17, 26, 10, 5
2023/4/18, 28, , 
2023/2/14, 53, 19, 7
2023/2/15, 50, 20, 9
2023/2/16, 45, 8, 10
2023/2/17, 20, 11, 9
2023/2/18, 36, 17, 5
2023/2/19, 49, 12, 3
2023/2/20, 32, 10, 6
2023/2/21, 30, 8, 9
2023/2/22, 22, 6, 2
2023/2/23, 16, 9, 1
2023/2/24, 20, 10, 1
2023/2/25, 22, 10, 3
2023/2/26, 26, 10, 6
2023/2/27, 29, 13, 12
2023/2/28, 38, 13, 3
2023/3/1, 34, 9, 2
2023/3/2, 29, 7, 4
2023/3/3, 22, 9, 4
2023/3/4, 26, 12, 8
2023/3/5, 40, 18, 7
2023/3/6, 58, 8, 6
2023/3/7, 21, 7, 4
2023/3/8, 17, 10, 1
2023/3/9, 27, 9, 
2023/3/10, 32, 5, 10
2023/3/11, 13, 11, 7
2023/3/12, 28, 28, 5
2023/3/13, 66, 13, 4
2023/3/14, 38, 9, 11
2023/3/15, 23, 19, 13
2023/3/16, 58, 5, 10
2023/3/17, 17, 12, 9
2023/3/18, 37, 10, 5
2023/3/19, 32, 13, 6
2023/3/20, 33, 6, 7
2023/3/21, 17, 7, 7
2023/3/22, 19, 12, 7
2023/3/23, 31, 11, 6
2023/3/24, 27, 15, 6
2023/3/25, 36, 13, 6
2023/3/26, 28, 7, 7
2023/3/27, 22, 9, 7
2023/3/28, 23, 14, 5
2023/3/29, 38, 19, 8
2023/3/30, 50, 11, 3
2023/3/31, 32, 6, 1
2023/2/13, , 18, 13
